"race","week","gender","count"
"Asian","2016-44","Female",5
"Asian","2016-44","Male",5
"Asian","2016-45","Female",4
"Asian","2016-45","Male",11
"Asian","2016-46","Female",1
"Asian","2016-46","Male",2
"Asian","2016-47","Female",5
"Asian","2016-47","Male",8
"Asian","2016-48","Female",3
"Asian","2016-48","Male",11
"Asian","2016-49","Female",2
"Asian","2016-49","Male",3
"Asian","2016-50","Female",2
"Asian","2016-50","Male",8
"Asian","2016-51","Female",2
"Asian","2016-51","Male",5
"Asian","2016-52","Female",3
"Asian","2016-52","Male",3
"Asian","2017-01","Female",2
"Asian","2017-01","Male",6
"Asian","2017-02","Female",7
"Asian","2017-02","Male",10
"Asian","2017-03","Female",6
"Asian","2017-03","Unknown",1
"Asian","2017-03","Male",3
"Asian","2017-04","Female",8
"Asian","2017-04","Male",10
"Asian","2017-05","Female",2
"Asian","2017-05","Male",7
"Asian","2017-06","Female",10
"Asian","2017-06","Male",15
"Asian","2017-07","Female",3
"Asian","2017-07","Male",11
"Asian","2017-08","Female",6
"Asian","2017-08","Male",13
"Asian","2017-09","Female",7
"Asian","2017-09","Male",8
"Asian","2017-10","Female",13
"Asian","2017-10","Male",9
"Asian","2017-11","Female",2
"Asian","2017-11","Male",13
"Asian","2017-11","Unknown",2
"Asian","2017-12","Female",3
"Asian","2017-12","Male",8
"Asian","2017-13","Female",3
"Asian","2017-13","Male",19
"Asian","2017-14","Female",6
"Asian","2017-14","Male",9
"Asian","2017-15","Female",7
"Asian","2017-15","Male",17
"Asian","2017-16","Female",9
"Asian","2017-16","Male",12
"Asian","2017-17","Female",3
"Asian","2017-17","Male",15
"Asian","2017-18","Female",2
"Asian","2017-18","Male",3
"Asian","2017-19","Female",6
"Asian","2017-19","Male",8
"Asian","2017-20","Female",6
"Asian","2017-20","Male",6
"Asian","2017-21","Female",6
"Asian","2017-21","Male",15
"Asian","2017-22","Female",4
"Asian","2017-22","Male",14
"Asian","2017-23","Female",4
"Asian","2017-23","Male",9
"Asian","2017-24","Female",1
"Asian","2017-24","Male",6
"Asian","2017-25","Female",3
"Asian","2017-25","Male",13
"Asian","2017-26","Female",3
"Asian","2017-26","Male",10
"Asian","2017-27","Female",2
"Asian","2017-27","Male",8
"Asian","2017-28","Female",4
"Asian","2017-28","Male",9
"Asian","2017-29","Female",8
"Asian","2017-29","Male",8
"Asian","2017-30","Female",5
"Asian","2017-30","Male",7
"Asian","2017-31","Female",2
"Asian","2017-31","Male",9
"Asian","2017-32","Female",5
"Asian","2017-32","Male",6
"Asian","2017-33","Female",3
"Asian","2017-33","Male",6
"Asian","2017-34","Female",2
"Asian","2017-34","Unknown",1
"Asian","2017-34","Male",9
"Asian","2017-35","Female",2
"Asian","2017-35","Male",6
"Asian","2017-36","Female",6
"Asian","2017-36","Male",9
"Asian","2017-37","Female",3
"Asian","2017-37","Male",4
"Asian","2017-38","Female",2
"Asian","2017-38","Male",9
"Asian","2017-39","Female",5
"Asian","2017-39","Male",7
"Asian","2017-40","Female",2
"Asian","2017-40","Male",10
"Asian","2017-41","Female",6
"Asian","2017-41","Male",2
"Asian","2017-42","Female",1
"Asian","2017-42","Male",4
"Asian","2017-43","Female",3
"Asian","2017-43","Male",9
"Asian","2017-44","Female",5
"Asian","2017-44","Male",5
"Asian","2017-45","Male",4
"Asian","2017-46","Female",4
"Asian","2017-46","Male",4
"Asian","2017-47","Female",6
"Asian","2017-47","Male",10
"Asian","2017-48","Female",5
"Asian","2017-48","Male",6
"Asian","2017-49","Female",2
"Asian","2017-49","Male",6
"Asian","2017-50","Female",5
"Asian","2017-50","Male",8
"Asian","2017-51","Female",3
"Asian","2017-51","Male",6
"Asian","2017-52","Female",2
"Asian","2017-52","Male",4
"Asian","2018-01","Male",7
"Asian","2018-02","Female",1
"Asian","2018-02","Male",1
"Asian","2018-03","Female",3
"Asian","2018-03","Male",9
"Asian","2018-04","Male",8
"Asian","2018-05","Female",4
"Asian","2018-05","Male",1
"Asian","2018-06","Female",5
"Asian","2018-06","Male",7
"Asian","2018-07","Female",2
"Asian","2018-07","Male",4
"Asian","2018-08","Female",3
"Asian","2018-08","Male",9
"Asian","2018-09","Female",5
"Asian","2018-09","Male",10
"Asian","2018-10","Female",4
"Asian","2018-10","Male",11
"Asian","2018-11","Female",5
"Asian","2018-11","Male",8
"Asian","2018-12","Female",4
"Asian","2018-12","Male",11
"Asian","2018-13","Female",5
"Asian","2018-13","Male",9
"Asian","2018-14","Female",4
"Asian","2018-14","Male",8
"Asian","2018-15","Female",5
"Asian","2018-15","Male",13
"Asian","2018-16","Female",6
"Asian","2018-16","Male",5
"Asian","2018-17","Female",4
"Asian","2018-17","Male",3
"Asian","2018-18","Female",2
"Asian","2018-18","Male",9
"Asian","2018-19","Female",2
"Asian","2018-19","Male",7
"Asian","2018-20","Female",7
"Asian","2018-20","Male",9
"Asian","2018-21","Female",4
"Asian","2018-21","Male",10
"Asian","2018-22","Female",7
"Asian","2018-22","Male",10
"Asian","2018-23","Female",8
"Asian","2018-23","Male",4
"Asian","2018-24","Female",5
"Asian","2018-24","Male",5
"Asian","2018-25","Female",1
"Asian","2018-25","Male",7
"Asian","2018-26","Female",4
"Asian","2018-26","Male",2
"Asian","2018-27","Female",1
"Asian","2018-27","Male",8
"Asian","2018-28","Female",4
"Asian","2018-28","Male",8
"Asian","2018-29","Female",6
"Asian","2018-29","Male",8
"Asian","2018-30","Female",6
"Asian","2018-30","Male",14
"Asian","2018-31","Female",1
"Asian","2018-31","Male",13
"Asian","2018-32","Female",1
"Asian","2018-32","Male",13
"Asian","2018-33","Female",3
"Asian","2018-33","Male",4
"Asian","2018-34","Female",4
"Asian","2018-34","Male",11
"Asian","2018-35","Female",4
"Asian","2018-35","Male",6
"Asian","2018-36","Female",2
"Asian","2018-36","Male",9
"Asian","2018-37","Female",2
"Asian","2018-37","Male",9
"Asian","2018-38","Female",2
"Asian","2018-38","Male",12
"Asian","2018-39","Female",3
"Asian","2018-39","Male",1
"Asian","2018-39","Unknown",1
"Asian","2018-40","Female",3
"Asian","2018-40","Male",7
"Asian","2018-41","Female",2
"Asian","2018-41","Male",6
"Asian","2018-42","Female",1
"Asian","2018-42","Male",11
"Asian","2018-43","Female",3
"Asian","2018-43","Male",11
"Asian","2018-44","Female",6
"Asian","2018-44","Male",7
"Asian","2018-45","Female",7
"Asian","2018-45","Male",5
"Asian","2018-46","Female",2
"Asian","2018-46","Male",8
"Asian","2018-47","Female",1
"Asian","2018-47","Male",6
"Asian","2018-48","Female",2
"Asian","2018-48","Male",6
"Asian","2018-49","Female",1
"Asian","2018-49","Male",3
"Asian","2018-50","Female",2
"Asian","2018-50","Male",14
"Asian","2018-51","Female",5
"Asian","2018-51","Male",6
"Asian","2018-52","Female",2
"Asian","2018-52","Male",13
"Asian","2019-01","Female",2
"Asian","2019-01","Male",8
"Asian","2019-02","Female",5
"Asian","2019-02","Male",5
"Asian","2019-03","Female",4
"Asian","2019-03","Male",6
"Asian","2019-04","Female",2
"Asian","2019-04","Male",8
"Asian","2019-05","Male",5
"Asian","2019-06","Female",3
"Asian","2019-06","Male",7
"Asian","2019-07","Male",1
"Asian","2019-08","Female",4
"Asian","2019-08","Male",2
"Asian","2019-09","Female",1
"Asian","2019-09","Male",3
"Asian","2019-10","Male",8
"Asian","2019-11","Female",4
"Asian","2019-11","Male",8
"Asian","2019-12","Female",2
"Asian","2019-12","Male",8
"Asian","2019-13","Female",4
"Asian","2019-13","Male",6
"Asian","2019-14","Female",2
"Asian","2019-14","Male",4
"Asian","2019-15","Female",2
"Asian","2019-15","Male",3
"Asian","2019-16","Female",4
"Asian","2019-16","Male",7
"Asian","2019-17","Female",3
"Asian","2019-17","Male",4
"Asian","2019-18","Female",4
"Asian","2019-18","Male",5
"Asian","2019-19","Female",2
"Asian","2019-19","Male",6
"Asian","2019-20","Female",1
"Asian","2019-20","Male",4
"Asian","2019-21","Female",1
"Asian","2019-21","Male",4
"Asian","2019-22","Female",4
"Asian","2019-22","Male",8
"Asian","2019-23","Female",1
"Asian","2019-23","Male",2
"Asian","2019-24","Female",7
"Asian","2019-24","Male",4
"Asian","2019-25","Female",4
"Asian","2019-25","Male",7
"Asian","2019-26","Female",4
"Asian","2019-26","Male",5
"Asian","2019-27","Female",3
"Asian","2019-27","Male",4
"Asian","2019-28","Female",6
"Asian","2019-28","Male",7
"Asian","2019-29","Female",4
"Asian","2019-29","Male",6
"Asian","2019-29","Unknown",1
"Asian","2019-30","Female",3
"Asian","2019-30","Male",2
"Asian","2019-31","Female",2
"Asian","2019-31","Male",8
"Asian","2019-32","Female",5
"Asian","2019-32","Male",4
"Asian","2019-33","Female",2
"Asian","2019-33","Male",7
"Asian","2019-34","Female",10
"Asian","2019-34","Male",7
"Asian","2019-35","Female",2
"Asian","2019-35","Male",7
"Asian","2019-36","Female",2
"Asian","2019-36","Male",11
"Asian","2019-37","Female",2
"Asian","2019-37","Male",7
"Asian","2019-38","Female",2
"Asian","2019-38","Male",8
"Asian","2019-39","Female",5
"Asian","2019-39","Male",8
"Asian","2019-40","Female",6
"Asian","2019-40","Male",7
"Asian","2019-41","Female",1
"Asian","2019-41","Male",6
"Asian","2019-42","Female",2
"Asian","2019-42","Male",3
"Asian","2019-43","Female",2
"Asian","2019-43","Male",5
"Asian","2019-44","Female",4
"Asian","2019-44","Male",2
"Asian","2019-45","Female",1
"Asian","2019-45","Male",2
"Asian","2019-46","Female",4
"Asian","2019-46","Male",4
"Asian","2019-47","Female",2
"Asian","2019-47","Male",3
"Asian","2019-48","Female",1
"Asian","2019-48","Male",5
"Asian","2019-49","Female",3
"Asian","2019-49","Male",4
"Asian","2019-49","Unknown",1
"Asian","2019-50","Female",4
"Asian","2019-50","Male",3
"Asian","2019-51","Female",2
"Asian","2019-51","Male",4
"Asian","2019-52","Female",3
"Asian","2019-52","Male",2
"Asian","2020-01","Female",3
"Asian","2020-01","Male",4
"Asian","2020-02","Female",1
"Asian","2020-02","Male",4
"Asian","2020-03","Female",2
"Asian","2020-03","Male",3
"Asian","2020-04","Female",5
"Asian","2020-04","Male",5
"Asian","2020-05","Female",6
"Asian","2020-05","Male",9
"Asian","2020-06","Female",1
"Asian","2020-06","Male",8
"Asian","2020-07","Female",5
"Asian","2020-07","Male",2
"Asian","2020-07","Unknown",1
"Asian","2020-08","Female",2
"Asian","2020-08","Male",4
"Asian","2020-09","Female",4
"Asian","2020-09","Male",4
"Asian","2020-10","Female",4
"Asian","2020-10","Male",6
"Asian","2020-11","Female",2
"Asian","2020-11","Male",5
"Asian","2020-12","Female",4
"Asian","2020-12","Male",6
"Asian","2020-13","Female",2
"Asian","2020-13","Male",4
"Asian","2020-14","Male",6
"Asian","2020-15","Female",3
"Asian","2020-15","Male",6
"Asian","2020-16","Female",2
"Asian","2020-16","Male",4
"Asian","2020-17","Female",1
"Asian","2020-17","Male",2
"Asian","2020-18","Female",4
"Asian","2020-18","Male",6
"Asian","2020-19","Female",3
"Asian","2020-19","Male",4
"Asian","2020-20","Female",2
"Asian","2020-20","Male",3
"Asian","2020-21","Female",3
"Asian","2020-21","Male",7
"Asian","2020-22","Male",1
"Asian","2020-23","Unknown",1
"Asian","2020-24","Male",1
"Black","2016-44","Female",39
"Black","2016-44","Unknown",1
"Black","2016-44","Male",139
"Black","2016-44","Unknown",3
"Black","2016-45","Female",56
"Black","2016-45","Male",169
"Black","2016-46","Female",36
"Black","2016-46","Unknown",1
"Black","2016-46","Male",152
"Black","2016-46","Unknown",1
"Black","2016-47","Female",37
"Black","2016-47","Unknown",1
"Black","2016-47","Male",149
"Black","2016-47","Unknown",1
"Black","2016-48","Female",48
"Black","2016-48","Male",158
"Black","2016-48","Unknown",2
"Black","2016-49","Female",40
"Black","2016-49","Male",134
"Black","2016-50","Female",38
"Black","2016-50","Male",144
"Black","2016-51","Female",49
"Black","2016-51","Male",162
"Black","2016-52","Female",67
"Black","2016-52","Male",191
"Black","2016-52","Unknown",3
"Black","2017-01","Female",41
"Black","2017-01","Male",187
"Black","2017-02","Female",64
"Black","2017-02","Unknown",1
"Black","2017-02","Male",168
"Black","2017-03","Female",60
"Black","2017-03","Male",187
"Black","2017-04","Female",81
"Black","2017-04","Male",224
"Black","2017-04","Unknown",3
"Black","2017-05","Female",83
"Black","2017-05","Unknown",1
"Black","2017-05","Male",216
"Black","2017-05","Unknown",2
"Black","2017-06","Female",101
"Black","2017-06","Male",315
"Black","2017-06","Unknown",1
"Black","2017-07","Female",109
"Black","2017-07","Male",303
"Black","2017-07","Unknown",1
"Black","2017-08","Female",85
"Black","2017-08","Unknown",1
"Black","2017-08","Male",257
"Black","2017-08","Unknown",1
"Black","2017-09","Female",90
"Black","2017-09","Male",258
"Black","2017-10","Female",74
"Black","2017-10","Male",272
"Black","2017-11","Female",92
"Black","2017-11","Male",327
"Black","2017-11","Unknown",1
"Black","2017-12","Female",86
"Black","2017-12","Male",244
"Black","2017-12","Unknown",1
"Black","2017-13","Female",102
"Black","2017-13","Unknown",2
"Black","2017-13","Male",279
"Black","2017-14","Female",107
"Black","2017-14","Unknown",1
"Black","2017-14","Male",323
"Black","2017-14","Unknown",2
"Black","2017-15","Female",74
"Black","2017-15","Male",284
"Black","2017-15","Unknown",2
"Black","2017-16","Female",101
"Black","2017-16","Male",248
"Black","2017-16","Unknown",4
"Black","2017-17","Female",94
"Black","2017-17","Unknown",1
"Black","2017-17","Male",264
"Black","2017-17","Unknown",1
"Black","2017-18","Female",79
"Black","2017-18","Male",241
"Black","2017-18","Unknown",1
"Black","2017-19","Female",72
"Black","2017-19","Male",230
"Black","2017-19","Unknown",1
"Black","2017-20","Female",73
"Black","2017-20","Unknown",1
"Black","2017-20","Male",238
"Black","2017-20","Unknown",1
"Black","2017-21","Female",65
"Black","2017-21","Unknown",1
"Black","2017-21","Male",228
"Black","2017-21","Unknown",3
"Black","2017-22","Female",85
"Black","2017-22","Unknown",1
"Black","2017-22","Male",220
"Black","2017-23","Female",61
"Black","2017-23","Unknown",1
"Black","2017-23","Male",234
"Black","2017-23","Unknown",1
"Black","2017-24","Female",73
"Black","2017-24","Unknown",1
"Black","2017-24","Male",220
"Black","2017-25","Female",75
"Black","2017-25","Unknown",1
"Black","2017-25","Male",230
"Black","2017-25","Unknown",1
"Black","2017-26","Female",65
"Black","2017-26","Male",261
"Black","2017-26","Unknown",3
"Black","2017-27","Female",50
"Black","2017-27","Male",236
"Black","2017-27","Unknown",2
"Black","2017-28","Female",82
"Black","2017-28","Unknown",1
"Black","2017-28","Male",257
"Black","2017-29","Female",85
"Black","2017-29","Male",250
"Black","2017-29","Unknown",3
"Black","2017-30","Female",46
"Black","2017-30","Male",191
"Black","2017-31","Female",53
"Black","2017-31","Male",196
"Black","2017-31","Unknown",2
"Black","2017-32","Female",58
"Black","2017-32","Male",188
"Black","2017-32","Unknown",1
"Black","2017-33","Female",79
"Black","2017-33","Male",247
"Black","2017-33","Unknown",1
"Black","2017-34","Female",52
"Black","2017-34","Male",246
"Black","2017-35","Female",63
"Black","2017-35","Male",236
"Black","2017-35","Unknown",1
"Black","2017-36","Female",57
"Black","2017-36","Unknown",1
"Black","2017-36","Male",244
"Black","2017-36","Unknown",3
"Black","2017-37","Female",50
"Black","2017-37","Male",238
"Black","2017-37","Unknown",1
"Black","2017-38","Female",62
"Black","2017-38","Male",267
"Black","2017-38","Unknown",3
"Black","2017-39","Female",79
"Black","2017-39","Male",213
"Black","2017-39","Unknown",2
"Black","2017-40","Female",78
"Black","2017-40","Male",235
"Black","2017-40","Unknown",1
"Black","2017-41","Female",62
"Black","2017-41","Male",239
"Black","2017-41","Unknown",1
"Black","2017-42","Female",52
"Black","2017-42","Male",234
"Black","2017-42","Unknown",3
"Black","2017-43","Female",62
"Black","2017-43","Unknown",1
"Black","2017-43","Male",231
"Black","2017-43","Unknown",1
"Black","2017-44","Female",58
"Black","2017-44","Male",202
"Black","2017-44","Unknown",4
"Black","2017-45","Female",51
"Black","2017-45","Male",192
"Black","2017-46","Female",53
"Black","2017-46","Male",153
"Black","2017-47","Female",62
"Black","2017-47","Male",212
"Black","2017-48","Female",74
"Black","2017-48","Unknown",1
"Black","2017-48","Male",227
"Black","2017-49","Female",35
"Black","2017-49","Male",135
"Black","2017-50","Female",54
"Black","2017-50","Male",215
"Black","2017-50","Unknown",2
"Black","2017-51","Female",38
"Black","2017-51","Male",166
"Black","2017-51","Unknown",4
"Black","2017-52","Female",45
"Black","2017-52","Unknown",1
"Black","2017-52","Male",166
"Black","2017-52","Unknown",1
"Black","2018-01","Female",34
"Black","2018-01","Unknown",1
"Black","2018-01","Male",183
"Black","2018-02","Female",46
"Black","2018-02","Male",151
"Black","2018-03","Female",53
"Black","2018-03","Male",169
"Black","2018-03","Unknown",1
"Black","2018-04","Female",33
"Black","2018-04","Male",118
"Black","2018-05","Female",36
"Black","2018-05","Male",125
"Black","2018-06","Female",55
"Black","2018-06","Male",214
"Black","2018-06","Unknown",1
"Black","2018-07","Female",69
"Black","2018-07","Unknown",1
"Black","2018-07","Male",242
"Black","2018-07","Unknown",1
"Black","2018-08","Female",46
"Black","2018-08","Male",136
"Black","2018-09","Female",57
"Black","2018-09","Male",246
"Black","2018-10","Female",57
"Black","2018-10","Male",271
"Black","2018-10","Unknown",1
"Black","2018-11","Female",83
"Black","2018-11","Male",325
"Black","2018-11","Unknown",1
"Black","2018-12","Female",85
"Black","2018-12","Male",296
"Black","2018-12","Unknown",1
"Black","2018-13","Female",83
"Black","2018-13","Unknown",1
"Black","2018-13","Male",273
"Black","2018-13","Unknown",1
"Black","2018-14","Female",80
"Black","2018-14","Male",229
"Black","2018-14","Unknown",1
"Black","2018-15","Female",61
"Black","2018-15","Male",211
"Black","2018-16","Female",72
"Black","2018-16","Male",259
"Black","2018-16","Unknown",1
"Black","2018-17","Female",58
"Black","2018-17","Unknown",1
"Black","2018-17","Male",246
"Black","2018-17","Unknown",2
"Black","2018-18","Female",95
"Black","2018-18","Male",277
"Black","2018-18","Unknown",4
"Black","2018-19","Female",83
"Black","2018-19","Male",271
"Black","2018-19","Unknown",3
"Black","2018-20","Female",78
"Black","2018-20","Male",277
"Black","2018-21","Female",89
"Black","2018-21","Unknown",1
"Black","2018-21","Male",299
"Black","2018-21","Unknown",2
"Black","2018-22","Female",78
"Black","2018-22","Male",301
"Black","2018-22","Unknown",1
"Black","2018-23","Female",66
"Black","2018-23","Male",227
"Black","2018-23","Unknown",2
"Black","2018-24","Female",68
"Black","2018-24","Unknown",2
"Black","2018-24","Male",199
"Black","2018-25","Female",43
"Black","2018-25","Male",204
"Black","2018-25","Unknown",1
"Black","2018-26","Female",45
"Black","2018-26","Unknown",1
"Black","2018-26","Male",179
"Black","2018-26","Unknown",6
"Black","2018-27","Female",68
"Black","2018-27","Unknown",1
"Black","2018-27","Male",236
"Black","2018-27","Unknown",3
"Black","2018-28","Female",70
"Black","2018-28","Unknown",1
"Black","2018-28","Male",228
"Black","2018-28","Unknown",3
"Black","2018-29","Female",59
"Black","2018-29","Unknown",1
"Black","2018-29","Male",208
"Black","2018-29","Unknown",2
"Black","2018-30","Female",71
"Black","2018-30","Male",288
"Black","2018-30","Unknown",5
"Black","2018-31","Female",66
"Black","2018-31","Unknown",1
"Black","2018-31","Male",270
"Black","2018-31","Unknown",5
"Black","2018-32","Female",66
"Black","2018-32","Male",253
"Black","2018-32","Unknown",2
"Black","2018-33","Female",70
"Black","2018-33","Male",225
"Black","2018-33","Unknown",3
"Black","2018-34","Female",57
"Black","2018-34","Male",225
"Black","2018-34","Unknown",1
"Black","2018-35","Female",73
"Black","2018-35","Male",224
"Black","2018-36","Female",52
"Black","2018-36","Unknown",2
"Black","2018-36","Male",201
"Black","2018-36","Unknown",1
"Black","2018-37","Female",58
"Black","2018-37","Unknown",1
"Black","2018-37","Male",191
"Black","2018-37","Unknown",1
"Black","2018-38","Female",87
"Black","2018-38","Male",275
"Black","2018-38","Unknown",2
"Black","2018-39","Female",54
"Black","2018-39","Male",223
"Black","2018-40","Female",82
"Black","2018-40","Male",242
"Black","2018-40","Unknown",3
"Black","2018-41","Female",52
"Black","2018-41","Male",158
"Black","2018-41","Unknown",1
"Black","2018-42","Female",56
"Black","2018-42","Male",207
"Black","2018-42","Unknown",1
"Black","2018-43","Female",67
"Black","2018-43","Male",233
"Black","2018-43","Unknown",2
